STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/8/2000,0,0,0,74,49
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/9/2000,0,0,0,83,57
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/10/2000,0,0,0,79,58
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/11/2000,0,0,0,80,58
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/12/2000,0.38,0,0,80,52
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/13/2000,0,0,0,53,30
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/14/2000,0,0,0,51,32
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/15/2000,0,0,0,62,39
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/16/2000,0,0,0,69,51
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/17/2000,0.56,0,0,66,56
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/18/2000,0,0,0,67,31
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/19/2000,0,0,0,46,32
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/20/2000,0,0,0,59,45
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/21/2000,0,0,0,52,44
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/22/2000,0,0,0,52,40
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/23/2000,0,0,0,53,44
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/24/2000,0,0,0,62,42
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/25/2000,0,0,0,69,48
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/26/2000,0.1,0,0,77,56
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/27/2000,0,0,0,72,49
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/28/2000,0.7,0,0,67,44
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/29/2000,0,0,0,68,40
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/30/2000,0.05,0,0,61,45
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/31/2000,0,0,0,56,42
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/1/2000,0,0,0,65,41
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/2/2000,0,0,0,69,49
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/3/2000,0.05,0,0,65,51
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/4/2000,0.04,0,0,80,61
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/5/2000,0.03,0,0,67,36
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/6/2000,0,0,0,59,38
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/7/2000,0,0,0,78,48
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/8/2000,0,0,0,80,56
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/9/2000,0.75,0,0,73,36
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/10/2000,0,0,0,61,44
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/11/2000,0,0,0,73,45
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/12/2000,0,0,0,75,55
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/13/2000,0.02,0,0,74,44
