clipFilename,start,dur,itemId,itemFilename,itemUrl,itemTitle
Till-the-boys-come-home_00694067_041_00-02-26.wav,146239,1928,00694067,00694067.wav,http://www.loc.gov/item/00694067/,'Till the boys come home
Till-the-boys-come-home_00694067_042_00-03-51.wav,231480,952,00694067,00694067.wav,http://www.loc.gov/item/00694067/,'Till the boys come home
Till-the-boys-come-home_00694067_043_00-03-52.wav,232432,511,00694067,00694067.wav,http://www.loc.gov/item/00694067/,'Till the boys come home
Till-the-boys-come-home_00694067_044_00-03-52.wav,232943,371,00694067,00694067.wav,http://www.loc.gov/item/00694067/,'Till the boys come home
Till-the-boys-come-home_00694067_045_00-03-53.wav,233314,302,00694067,00694067.wav,http://www.loc.gov/item/00694067/,'Till the boys come home
Till-the-boys-come-home_00694067_046_00-03-53.wav,233616,232,00694067,00694067.wav,http://www.loc.gov/item/00694067/,'Till the boys come home
Till-the-boys-come-home_00694067_047_00-03-53.wav,233848,279,00694067,00694067.wav,http://www.loc.gov/item/00694067/,'Till the boys come home
Till-the-boys-come-home_00694067_048_00-03-54.wav,234127,580,00694067,00694067.wav,http://www.loc.gov/item/00694067/,'Till the boys come home
Till-the-boys-come-home_00694067_049_00-03-54.wav,234707,558,00694067,00694067.wav,http://www.loc.gov/item/00694067/,'Till the boys come home
Till-the-boys-come-home_00694067_050_00-03-55.wav,235334,604,00694067,00694067.wav,http://www.loc.gov/item/00694067/,'Till the boys come home
Till-the-boys-come-home_00694067_051_00-03-55.wav,235938,743,00694067,00694067.wav,http://www.loc.gov/item/00694067/,'Till the boys come home
Till-the-boys-come-home_00694067_052_00-03-56.wav,236681,488,00694067,00694067.wav,http://www.loc.gov/item/00694067/,'Till the boys come home
Till-the-boys-come-home_00694067_053_00-03-57.wav,237169,255,00694067,00694067.wav,http://www.loc.gov/item/00694067/,'Till the boys come home
Till-the-boys-come-home_00694067_054_00-03-57.wav,237424,93,00694067,00694067.wav,http://www.loc.gov/item/00694067/,'Till the boys come home
Till-the-boys-come-home_00694067_055_00-03-57.wav,237517,488,00694067,00694067.wav,http://www.loc.gov/item/00694067/,'Till the boys come home
